race_number,program_number,horse_name,latest_surface,latest_distance,latest_time
7,6,Uncle Cat,Dirt-Fast,6 1/2F,1:18.76
7,7,Tenebris,Dirt,1 mile,1:36.79
7,8,Quick Tempo,Turf-Firm,5 1/2F,1:02.85
7,9,Bolt of Aurum,Dirt-Fast,6 f,1:10.78
7,10,Uncle Dar,Turf-Firm,5 1/2F,1:03.91
7,11,Saxton,Turf-Firm,5 1/2F,1:02.66
7,12,Swill,Turf-Firm,5 1/2F,1:02.34
7,13,Take a Hint,Dirt-Fast,6 f,1:10.37
7,14,Nothing Better,Turf-Firm,5 1/2F,1:02.52
7,15,Maya Prince,Turf-Firm,5 1/2F,1:02.34
7,16,Lucci,Turf-Firm,5 f,0:56.60
8,1,Meg,Dirt-Fast,1 1/16M,1:50.80
8,2,Ghee for the Win,Dirt-Fast,6 1/2F,1:19.56
8,3,Reply,Dirt,1 70y,1:40.59
8,4,Audibly,Dirt-Fast,1M 70Y,1:42.18
8,5,Rowsie Express,Dirt-Fast,1 m,1:40.57
8,6,Backstretch Rose,Dirt-,1 1/8 m,1:52.88
9,1,Gogo Chanel,Turf-Firm,1 m,1:36.31
9,2,Stop Watch,Turf-Firm,7 1/2F,1:29.29
9,3,Worth a Dime,Turf-Good,5 1/2F,1:04.00
9,4,Shine On Moon,Turf-Good,5 1/2F,1:04.00
9,5,Ballroom Eyes,Turf-Firm,1 1/16M,1:41.86
9,6,How Sweet She Is,Dirt-Fast,1 1/16M,1:46.35
9,7,Summer Whirl,Turf-Firm,1 1/16M,1:41.33
9,8,Baby Sox,Dirt-Fast,1 m,1:39.33
9,9,Dead Sexy,Turf-Firm,1 1/16M,1:41.88
10,1,Nancy's Notion,Turf-Firm,5 1/2F,1:04.92
10,2,My Grey Humor,Turf-Firm,5 1/2F,1:03.25
10,3,Hail No,Turf-Firm,5 1/2F,1:03.86
10,4,My Kinda Mischief,Turf-Firm,5 1/2F,1:04.92
10,5,Wikolia Lady,Turf-Firm,5 1/2F,1:03.25
10,6,Julia's a Fox,Dirt-Muddy,6 f,1:14.13
10,7,Always a Rye,Dirt-,6 f,1:12.34
10,8,Intel Agent,Turf-Firm,5 1/2F,1:03.25
10,9,Mae Be Mae,Dirt-Fast,5 1/2F,1:07.49
10,10,Not Cuz It's Easy,Turf-Firm,5 1/2F,1:03.60
10,11,Louvar,Turf-Firm,1 1/16M,1:43.86
10,12,Stars Align,Turf-Firm,5 1/2F,1:03.25
10,13,Need a Miracle,Turf-Firm,5 1/2F,1:03.60
10,14,Collected Mist,Turf-Firm,5 f,0:57.27
10,15,Holy Brick,Dirt-Fast,4 1/2F,0:53.94
10,16,Cayuga,Turf-Firm,5 f,0:57.97
