horse_name,race_number,program_number,surface,distance,time,performance_score,raw_score,surface_factor,distance_factor,track,date,valid_calculation
Maya Prince,7,15,,,,,,,,laurel-park,2025-09-28,False
Lucci,7,16,,,,,,,,laurel-park,2025-09-28,False
Meg,8,1,,,,,,,,laurel-park,2025-09-28,False
Ghee for the Win,8,2,,,,,,,,laurel-park,2025-09-28,False
Reply,8,3,,,,,,,,laurel-park,2025-09-28,False
Audibly,8,4,,,,,,,,laurel-park,2025-09-28,False
Rowsie Express,8,5,,,,,,,,laurel-park,2025-09-28,False
Backstretch Rose,8,6,,,,,,,,laurel-park,2025-09-28,False
Gogo Chanel,9,1,,,,,,,,laurel-park,2025-09-28,False
Stop Watch,9,2,,,,,,,,laurel-park,2025-09-28,False
Worth a Dime,9,3,,,,,,,,laurel-park,2025-09-28,False
Shine On Moon,9,4,,,,,,,,laurel-park,2025-09-28,False
Ballroom Eyes,9,5,,,,,,,,laurel-park,2025-09-28,False
How Sweet She Is,9,6,,,,,,,,laurel-park,2025-09-28,False
Summer Whirl,9,7,,,,,,,,laurel-park,2025-09-28,False
Baby Sox,9,8,,,,,,,,laurel-park,2025-09-28,False
Dead Sexy,9,9,,,,,,,,laurel-park,2025-09-28,False
Nancy's Notion,10,1,,,,,,,,laurel-park,2025-09-28,False
My Grey Humor,10,2,,,,,,,,laurel-park,2025-09-28,False
Hail No,10,3,,,,,,,,laurel-park,2025-09-28,False
My Kinda Mischief,10,4,,,,,,,,laurel-park,2025-09-28,False
Wikolia Lady,10,5,,,,,,,,laurel-park,2025-09-28,False
Julia's a Fox,10,6,,,,,,,,laurel-park,2025-09-28,False
Always a Rye,10,7,,,,,,,,laurel-park,2025-09-28,False
Intel Agent,10,8,,,,,,,,laurel-park,2025-09-28,False
Mae Be Mae,10,9,,,,,,,,laurel-park,2025-09-28,False
Not Cuz It's Easy,10,10,,,,,,,,laurel-park,2025-09-28,False
Louvar,10,11,,,,,,,,laurel-park,2025-09-28,False
Stars Align,10,12,,,,,,,,laurel-park,2025-09-28,False
Need a Miracle,10,13,,,,,,,,laurel-park,2025-09-28,False
Collected Mist,10,14,,,,,,,,laurel-park,2025-09-28,False
Holy Brick,10,15,,,,,,,,laurel-park,2025-09-28,False
Cayuga,10,16,,,,,,,,laurel-park,2025-09-28,False
